training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
34.941437,0.59000725,0.035138033,0.26096475,-23.81002,23.81002,0.05712191,-19.140062,-23.80981,-23.989098,6.7886295,-7.050554,185.71098,35.32657,0.61610883,0.03626215,0.24685144,-23.831814,23.831814,1.9740025,-19.811832,-23.831268,-23.958529,0.18277845578193663,913.8924114704132,5000
48.947376,0.46793956,0.024242418,0.19683711,-41.20671,41.20671,0.04000285,-23.013388,-41.211338,-41.98998,6.3954096,-5.951137,110.75989,49.760307,0.5377249,0.02536727,0.20816712,-41.612404,41.612404,0.06483181,-23.713112,-41.61167,-42.01652,0.1005307822227478,1416.5463800430298,10000
61.82961,0.49847746,0.021593062,0.17890953,-54.853214,54.853214,0.05584788,-27.520275,-54.859814,-55.69132,9.618802,-10.126824,131.83932,61.62621,0.5245086,0.020544313,0.1831332,-54.938408,54.938408,0.2376188,-15.850606,-54.94918,-55.709705,0.10178337688446044,1925.4632909297943,15000
71.83546,0.5081251,0.019339846,0.17197582,-65.525375,65.525375,0.7875091,-12.524946,-65.52336,-66.032616,8.666059,-8.779707,146.7636,72.24737,0.5137073,0.021636978,0.17398559,-65.24257,65.24257,0.09270908,-9.528906,-65.23433,-66.018845,0.10124449238777161,2431.685792207718,20000
79.68429,0.48269087,0.02040003,0.16990864,-73.08159,73.08159,0.20102033,-41.51969,-73.096436,-73.83284,5.9770427,-6.7372437,111.93773,79.81918,0.4521969,0.021272166,0.16535972,-72.98534,72.98534,0.94760644,-10.982855,-73.008095,-73.85356,0.10150731635093689,2939.222419977188,25000
85.55971,0.4374458,0.020235462,0.16458744,-79.05162,79.05162,0.46059528,-7.423924,-79.04967,-80.019455,14.096898,-11.378334,126.60867,86.225075,0.47776404,0.021787595,0.17160988,-79.21103,79.21103,0.14875588,-38.8748,-79.205154,-79.98732,0.1018695620059967,3448.5702652931213,30000
90.385475,0.4847542,0.020167734,0.16691789,-83.8504,83.8504,0.5682608,-6.678874,-83.85391,-84.93965,9.476619,-7.768858,128.44821,91.58032,0.49202204,0.022198496,0.16488214,-84.42875,84.42875,0.18959355,-44.745495,-84.438866,-84.95856,0.1015429232597351,3956.284918785095,35000
94.133125,0.44335908,0.019680375,0.16021195,-87.78565,87.78565,1.0571798,-34.000385,-87.80307,-88.597824,10.282772,-9.417489,180.7833,94.31047,0.48732442,0.021265987,0.1557208,-87.44335,87.44335,2.5644522,-16.227072,-87.45284,-88.55988,0.10215862326622009,4467.078072071075,40000
96.881195,0.4641433,0.019952655,0.16295719,-90.43126,90.43126,0.88285387,-7.8406687,-90.428535,-91.53141,11.08537,-8.383844,146.45428,96.622055,0.45734048,0.020487824,0.16108583,-90.01837,90.01837,0.24611495,-6.1388764,-90.02025,-91.52236,0.10277452011108398,4980.950706005096,45000
98.47965,0.43528616,0.020165773,0.15690339,-91.99464,91.99464,0.5674812,-5.863751,-91.99788,-93.84449,7.434989,-6.5842137,131.37178,99.72505,0.458728,0.019696284,0.15839891,-93.35744,93.35744,0.2468035,-50.508957,-93.36185,-93.85621,0.10107074122428894,5486.304441213608,50000
