training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
26.114378,0.59000725,0.03516678,0.26103154,-24.469368,24.469368,0.004006057,-23.753544,-24.469522,-24.88682,0.6791118,-0.7076455,21.266294,26.195099,0.61610883,0.03628027,0.24687505,-24.490582,24.490582,0.0130482735,-23.345152,-24.49062,-24.959158,0.1584506251335144,792.253228187561,5000
44.320698,0.46793956,0.024124896,0.19670027,-43.129013,43.129013,0.0009757843,-0.0584245,-43.128437,-43.414547,0.62570786,-0.5825522,13.715843,44.487583,0.5377249,0.02546836,0.20846665,-43.185806,43.185806,0.110911034,-14.144933,-43.190193,-43.392704,0.09997356085777283,1292.1210732460022,10000
59.112644,0.49847746,0.021522027,0.17891517,-57.968506,57.968506,0.40824085,-9.921854,-57.96825,-58.24021,1.2891055,-1.0169506,25.521715,59.246098,0.5245086,0.020524912,0.18271884,-58.105843,58.105843,0.033092923,-52.65763,-58.108124,-58.20505,0.10038639245033264,1794.0530743598938,15000
70.15073,0.5081251,0.019338172,0.17179662,-69.062454,69.062454,0.045995366,-49.16852,-69.05992,-69.206116,0.66519594,-0.83609366,17.545816,70.0544,0.5137073,0.021653054,0.17415231,-68.8911,68.8911,0.0072296057,-9.348278,-68.89299,-69.20452,0.10025564970970154,2295.331358194351,20000
77.86622,0.48269087,0.020423297,0.16971447,-76.77083,76.77083,0.10393824,-7.192338,-76.7735,-77.61175,0.6162895,-0.67158824,16.912365,78.240234,0.4521969,0.02126975,0.16559432,-77.14995,77.14995,0.44601732,-31.532106,-77.150536,-77.608765,0.10372145237922668,2813.938655614853,25000
84.58214,0.4374458,0.020342808,0.16392036,-83.53441,83.53441,0.2926773,-53.3065,-83.53695,-83.72243,3.3993127,-2.2160492,27.630562,84.75124,0.47776404,0.021935279,0.17149685,-83.61542,83.61542,0.0029800893,-82.96343,-83.61518,-83.699135,0.1046509626865387,3337.193509578705,30000
89.0734,0.4847542,0.020448139,0.16707829,-87.975204,87.975204,0.014109687,-10.466389,-87.978096,-88.483635,0.9180322,-0.84117866,14.987953,89.38006,0.49202204,0.022127947,0.1655446,-88.2242,88.2242,0.0059443326,-71.99765,-88.23419,-88.47823,0.10023081459999085,3838.347625732422,35000
92.75968,0.44335908,0.019788938,0.16036585,-91.72266,91.72266,0.0033198989,-89.73248,-91.724045,-91.91902,0.71573097,-0.9435888,14.949035,92.85058,0.48732442,0.02124398,0.1557796,-91.72594,91.72594,0.0012487653,-91.36652,-91.72602,-91.8982,0.10091638088226318,4342.929567098618,40000
94.60806,0.4641433,0.019924704,0.16266383,-93.54618,93.54618,0.41678482,-7.3989406,-93.54441,-94.36783,1.0499347,-0.8900788,25.26069,95.22665,0.45734048,0.020513354,0.16054767,-94.15391,94.15391,1.1410751,-64.97696,-94.15317,-94.40138,0.10189617490768432,4852.410495996475,45000
96.89418,0.43528616,0.020414462,0.15763201,-95.84646,95.84646,0.03353783,-65.03077,-95.862076,-96.178276,0.94162285,-0.94796425,21.165266,97.027954,0.458728,0.020004641,0.1586829,-95.969086,95.969086,0.0030994182,-95.15868,-95.96917,-96.14475,0.10254689264297485,5365.145000219345,50000
97.98096,0.43607175,0.019002408,0.15032245,-96.974815,96.974815,0.12693328,-32.970203,-96.98354,-97.56893,0.79557216,-0.96352506,16.28003,98.00419,0.42423785,0.018352518,0.14883128,-97.02937,97.02937,0.011524388,-10.060699,-97.029045,-97.5508,0.10158341302871704,5873.062105417252,55000
99.12832,0.4109627,0.019179914,0.14897022,-98.14196,98.14196,0.031399544,-35.459896,-98.14454,-98.61479,0.7853108,-0.7480403,15.625836,99.32046,0.46077394,0.01933102,0.15734498,-98.279755,98.279755,0.04391328,-82.0328,-98.28592,-98.58755,0.10053372673988342,6375.730770587921,60000
99.10587,0.49212098,0.020611761,0.14340548,-97.9954,97.9954,0.17368573,-44.44308,-98.02106,-99.20615,0.85321695,-0.78088707,19.9459,99.65277,0.45116076,0.01966103,0.14866756,-98.61178,98.61178,0.018499874,-60.48001,-98.62388,-99.186745,0.10330787167549134,6892.270169496536,65000
99.61897,0.45023593,0.019432295,0.14331591,-98.58577,98.58577,0.12111202,-51.71661,-98.612335,-99.79451,1.5644013,-0.87043375,23.566368,99.76336,0.46901128,0.020328814,0.15265629,-98.68449,98.68449,0.08044355,-27.84557,-98.70445,-99.757195,0.10402934246063232,7412.416932344437,70000
99.91261,0.42622125,0.021568948,0.14932789,-98.839325,98.839325,0.17729706,-44.67311,-98.91656,-100.09462,1.4671646,-1.235552,31.942127,99.2255,0.41058868,0.018936634,0.1452973,-98.24681,98.24681,0.22914656,-12.088444,-98.30598,-100.043434,0.10344825010299682,7929.658220291138,75000
98.95615,0.4271859,0.019776154,0.14108871,-97.93568,97.93568,0.06013422,-0.15661594,-97.96495,-100.10977,0.71955365,-0.7893827,16.253391,99.15563,0.43502674,0.01982127,0.14693676,-98.12597,98.12597,0.12342582,-64.90529,-98.16601,-100.07817,0.10527425074577332,8456.02951836586,80000
98.680374,0.43343675,0.018858036,0.14057505,-97.6812,97.6812,0.07143768,0.7483015,-97.68054,-100.242226,0.89480215,-1.5288572,16.678595,99.1691,0.41946703,0.018954981,0.14349233,-98.180984,98.180984,0.045322172,-76.65325,-98.18711,-100.19955,0.10591876659393311,8985.623410463333,85000
99.821884,0.3745263,0.017799906,0.13282815,-98.91336,98.91336,0.029916037,-74.6759,-98.92168,-100.26791,0.68315226,-1.1885519,13.733701,99.78917,0.43586835,0.017092168,0.13429469,-98.84054,98.84054,0.03396927,-81.820366,-98.84541,-100.266304,0.10322991375923157,9501.773022413254,90000
99.41042,0.45224535,0.020075765,0.1462849,-98.3559,98.3559,0.06772995,-29.707943,-98.36283,-100.363144,1.0634453,-0.98029995,16.963255,100.20876,0.44074795,0.019340623,0.1427857,-99.1878,99.1878,0.056407977,-76.54363,-99.19259,-100.39423,0.10178319082260132,10010.689016342163,95000
100.39871,0.41862234,0.01856964,0.14406607,-99.423004,99.423004,0.07756993,-78.533554,-99.43954,-100.386024,1.0276014,-1.0469778,17.268606,99.85866,0.41890952,0.019127846,0.14839791,-98.86591,98.86591,0.058450896,-36.383224,-98.87942,-100.34159,0.08713856372833252,10446.381875276566,100000
99.3783,0.46368918,0.019112056,0.13744186,-98.341255,98.341255,0.13206707,0.18906888,-98.33712,-100.551315,0.7807289,-1.0216352,16.521118,100.026855,0.40400276,0.019107709,0.14056784,-99.04962,99.04962,0.114776365,-53.3817,-99.08821,-100.54776,0.19193665838241578,11406.065211057663,105000
100.23812,0.4110475,0.017322345,0.13732103,-99.3074,99.3074,0.081152394,-47.01534,-99.32209,-100.546745,1.023466,-1.2248657,15.579814,99.8167,0.3966391,0.0181374,0.144708,-98.875946,98.875946,0.50751245,-48.382053,-98.88537,-100.52639,0.10180609993934632,11915.095745563507,110000
99.77523,0.42397928,0.017006718,0.13793267,-98.84105,98.84105,0.1507801,0.47771466,-98.83828,-100.62223,0.6749096,-0.9109486,22.09571,99.47695,0.42158863,0.018270569,0.13237746,-98.50725,98.50725,0.14177504,-62.9253,-98.54788,-100.65403,0.10340149879455567,12432.103286743164,115000
100.301094,0.40264863,0.01983154,0.13449547,-99.3035,99.3035,0.07280184,-64.800865,-99.318344,-100.5888,1.7980208,-1.3073045,19.672808,100.38874,0.43321255,0.01929041,0.15055542,-99.376816,99.376816,0.14892693,-68.30448,-99.38117,-100.6188,0.10194843788146973,12941.84551858902,120000
99.589035,0.4420633,0.017251663,0.13675931,-98.629425,98.629425,0.16239552,-44.88257,-98.65343,-100.60997,0.96734166,-1.0581696,21.41299,99.8502,0.43093687,0.0186239,0.13874517,-98.86054,98.86054,0.09007366,-41.026836,-98.88094,-100.585915,0.10230989727973938,13453.3950381279,125000
100.43265,0.44381288,0.019450901,0.13447927,-99.40531,99.40531,0.08527272,-72.117325,-99.416275,-100.63327,0.6970763,-0.8744319,19.840454,99.34852,0.40228382,0.019227587,0.14271533,-98.36941,98.36941,0.58029276,-9.075211,-98.380104,-100.604225,0.1031211100101471,13969.000633716583,130000
99.581955,0.40304044,0.017729992,0.14086847,-98.64702,98.64702,0.14078002,-46.69809,-98.6652,-100.47199,0.58401203,-1.0071293,18.85538,99.225136,0.45431727,0.017864432,0.13434173,-98.234886,98.234886,0.18656617,-65.85598,-98.25841,-100.44277,0.10182319221496582,14478.116656780243,135000
99.95026,0.39631236,0.01769076,0.12867324,-99.023224,99.023224,0.17888026,-75.367546,-99.040726,-100.59405,0.9037371,-0.86555475,19.130709,100.13313,0.4169544,0.017547933,0.13588548,-99.18974,99.18974,0.07263663,-75.75879,-99.19908,-100.60219,0.10368362064361572,14996.534809589386,140000
99.65109,0.40397727,0.018807372,0.13292612,-98.68289,98.68289,0.08550377,-32.978447,-98.69578,-100.5026,0.8833504,-1.1030008,18.181763,99.532234,0.42132223,0.017909689,0.13847208,-98.57362,98.57362,0.16558579,-50.79264,-98.57258,-100.54204,0.10334089455604553,15513.239324331284,145000
99.92889,0.43400267,0.018141124,0.13438305,-98.95065,98.95065,0.1558717,-4.7665977,-98.95169,-100.5433,0.8318072,-0.7806562,22.051907,100.21405,0.4475768,0.018232131,0.13568531,-99.21951,99.21951,0.09354603,-77.768715,-99.23442,-100.55132,0.10306870436668396,16028.58288192749,150000
99.737816,0.39320588,0.020399207,0.13961996,-98.732635,98.732635,0.38415515,-8.383067,-98.769066,-100.537766,1.4072318,-3.545307,32.021107,100.46374,0.41199023,0.020382227,0.14034985,-99.44028,99.44028,0.07168643,-74.13684,-99.45288,-100.53713,0.10217436175346374,16539.45472931862,155000
99.872635,0.42610502,0.016917259,0.13868877,-98.93901,98.93901,0.046341874,-44.08141,-98.94582,-100.57864,0.7214917,-0.66565585,16.636765,100.40327,0.3811819,0.019137304,0.1323028,-99.44797,99.44797,0.052374367,-78.339745,-99.45986,-100.54449,0.1031364758014679,17055.137152671814,160000
100.08598,0.44754234,0.01723386,0.13652804,-99.12142,99.12142,0.089604825,-35.100407,-99.14078,-100.55756,1.1445649,-0.69360244,18.159046,100.57771,0.4418516,0.018232075,0.13121326,-99.5889,99.5889,0.11773776,-55.51599,-99.58875,-100.52524,0.10125528464317322,17561.413621902466,165000
99.79719,0.43105704,0.018184453,0.136474,-98.820595,98.820595,0.14591514,0.710619,-98.83246,-100.49751,0.821511,-1.4372649,19.378275,99.98294,0.45385265,0.019443778,0.13799024,-98.94578,98.94578,0.20076402,-68.51707,-98.94465,-100.43086,0.09862963604927064,18054.56184077263,170000
99.6869,0.39418837,0.017779943,0.12788232,-98.75931,98.75931,0.10304033,-35.94248,-98.790344,-100.49443,1.0341748,-1.04501,16.27873,100.72252,0.43303496,0.017602291,0.1279853,-99.76141,99.76141,0.0154386405,-66.86814,-99.77248,-100.48522,0.10090015530586242,18559.062652349472,175000
100.31812,0.37193936,0.016783573,0.123510286,-99.44267,99.44267,0.14166197,-30.316292,-99.44232,-100.53357,1.175374,-0.6939332,18.864288,99.85881,0.3955963,0.018172296,0.13552225,-98.918045,98.918045,0.10322018,-45.034657,-98.92268,-100.54046,0.10126289677619935,19065.3771777153,180000
99.9325,0.39095202,0.018745795,0.13130696,-98.97918,98.97918,0.083393924,-53.30251,-98.99159,-100.520134,0.9611335,-1.0097333,16.846031,100.19795,0.42762002,0.019240187,0.13976067,-99.19313,99.19313,0.4412889,-72.719795,-99.209564,-100.51564,0.10184576411247254,19574.60604262352,185000
100.70574,0.4020049,0.017317263,0.12718722,-99.78422,99.78422,0.02447953,-86.851875,-99.78688,-100.52338,1.4664497,-1.1055508,15.836175,99.960365,0.39857367,0.017874923,0.12670209,-99.02554,99.02554,0.11653337,-48.694923,-99.03858,-100.49663,0.10217067637443543,20085.45947289467,190000
99.61531,0.3933789,0.017716564,0.12888095,-98.69044,98.69044,0.115710884,-37.710278,-98.70213,-100.5103,1.3161567,-1.0575024,17.593416,100.39495,0.40648198,0.016761377,0.127451,-99.48563,99.48563,0.039827958,-64.7887,-99.49136,-100.5362,0.09596957864761353,20565.3074092865,195000
100.52535,0.42099,0.017844819,0.12522012,-99.569016,99.569016,0.07874019,-65.37641,-99.56774,-100.615555,1.3116422,-1.1618762,19.329119,100.51777,0.40316856,0.018738715,0.13401982,-99.55244,99.55244,0.049958814,-73.53364,-99.55113,-100.573,0.08511583647727966,20990.886617422104,200000
100.45338,0.40547717,0.016239284,0.13233049,-99.56072,99.56072,0.0675762,-53.918224,-99.5582,-100.47958,1.2207308,-0.6556932,16.640919,100.39239,0.3978139,0.017294466,0.1264882,-99.47574,99.47574,0.07199721,-72.22157,-99.47806,-100.48276,0.19313458843231202,21956.559587478638,205000
99.86041,0.40085477,0.015931748,0.12983577,-98.981606,98.981606,0.18750528,-11.68069,-98.98811,-100.534035,1.0621325,-1.1359311,19.981522,100.47312,0.44789442,0.019147044,0.145091,-99.45081,99.45081,0.06341836,-67.69738,-99.47807,-100.528854,0.09062336382865906,22409.67644262314,210000
100.12025,0.45029,0.019730156,0.13104202,-99.07805,99.07805,0.061022356,-36.55934,-99.08534,-100.487595,0.750469,-1.248346,17.363249,100.55843,0.42261502,0.01800587,0.1330956,-99.59564,99.59564,0.1100869,-70.5212,-99.60435,-100.49671,0.10207116804122925,22920.032336473465,215000
100.28048,0.4323576,0.017698161,0.1328051,-99.31718,99.31718,0.10469865,-72.626335,-99.32822,-100.50898,0.7747525,-0.77900845,16.62698,100.63747,0.41261116,0.018327288,0.13130704,-99.67503,99.67503,0.040810812,-74.68994,-99.67294,-100.51872,0.10232836771011353,23431.674213647842,220000
100.00264,0.43089914,0.018866653,0.13532995,-99.00574,99.00574,0.22577602,-28.782751,-99.01897,-100.46783,1.1395098,-1.463954,20.887066,100.36538,0.41748503,0.019188875,0.13149266,-99.37223,99.37223,0.06116464,-65.264595,-99.377,-100.48207,0.10274635195732117,23945.406001329422,225000
100.27303,0.39072728,0.016323728,0.12575057,-99.39259,99.39259,0.17661645,-71.7461,-99.41374,-100.51806,1.006071,-0.76536345,23.912174,100.22967,0.44647646,0.017913722,0.12511165,-99.24578,99.24578,0.035828777,-48.895256,-99.255646,-100.45519,0.10208736028671264,24455.842839479446,230000
99.97666,0.37599513,0.017612355,0.124663174,-99.072296,99.072296,0.08489771,-2.410534,-99.07739,-100.45258,0.6532194,-0.57306445,15.096855,100.32742,0.41776732,0.018259767,0.12847665,-99.36186,99.36186,0.061262645,-56.734604,-99.3676,-100.48961,0.09986891250610351,24955.187443971634,235000
99.89897,0.4066663,0.01604335,0.1208834,-99.011,99.011,0.13476075,-33.848682,-99.01437,-100.51972,0.63012254,-0.6534309,15.692451,100.85772,0.46605688,0.016840225,0.13267179,-99.88646,99.88646,0.037601173,-76.27876,-99.890785,-100.53698,0.09962350244522095,25453.30499434471,240000
100.57239,0.40803742,0.018172674,0.1270852,-99.61917,99.61917,0.04808012,-74.02816,-99.60791,-100.39585,0.78940356,-1.0806575,18.731203,100.58813,0.39064994,0.018418701,0.13340989,-99.64491,99.64491,0.038026825,-69.832085,-99.649895,-100.41115,0.10162851634025574,25961.44761991501,245000
100.49695,0.3979162,0.015707579,0.121300735,-99.62781,99.62781,0.01576908,-68.224945,-99.630356,-100.45063,0.79129165,-0.8646468,13.265482,100.42683,0.41895276,0.016725766,0.13271101,-99.5061,99.5061,0.05944343,-73.184074,-99.5197,-100.46366,0.10027360472679138,26462.81569170952,250000
100.30497,0.44221774,0.018907908,0.13156268,-99.29552,99.29552,0.24462782,-26.930117,-99.31878,-100.44233,1.9759344,-2.8731368,29.842709,100.67984,0.41756904,0.017578807,0.137588,-99.73491,99.73491,0.045382194,-70.99857,-99.727806,-100.45046,0.10151083569526673,26970.369908332825,255000
100.07819,0.42483848,0.017992068,0.12958135,-99.113594,99.113594,0.073099904,-51.86781,-99.11581,-100.465034,0.75673574,-1.5637153,16.563873,100.18783,0.4179737,0.018153397,0.1276996,-99.22525,99.22525,0.04144127,-54.15355,-99.23563,-100.47206,0.10033678822517395,27472.0538957119,260000
100.385796,0.3968765,0.016357485,0.12799352,-99.49819,99.49819,0.23094222,-3.372521,-99.5014,-100.487595,2.7065692,-1.3813496,30.36843,100.578865,0.41538504,0.016824825,0.12648146,-99.65874,99.65874,0.04909203,-63.024998,-99.66635,-100.47586,0.10247216110229493,27984.414745807648,265000
