training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
33.253906,0.599176,0.027663458,0.24062788,-24.355694,24.355694,0.01223267,-22.675756,-24.354385,-24.680346,4.32403,-3.6875103,113.75063,33.778522,0.6353387,0.029501002,0.25883558,-24.292883,24.292883,0.015868807,-22.282698,-24.291075,-24.68486,0.13489477310180664,674.4739019870758,5000
49.90691,0.56092274,0.025972066,0.20359862,-41.554367,41.554367,0.46178105,-18.573797,-41.55261,-42.507366,6.7879844,-7.475468,144.25998,49.91494,0.59727645,0.026042325,0.20421804,-41.504967,41.504967,0.3486298,-23.550104,-41.520603,-42.505512,0.1188328483581543,1268.6381936073303,10000
62.32166,0.51469946,0.023779977,0.184423,-54.672966,54.672966,0.068848394,-14.803877,-54.66859,-55.658947,8.557653,-6.5881042,129.99373,62.20159,0.55438334,0.023145312,0.18766361,-54.703613,54.703613,0.88691866,-16.083424,-54.69155,-55.675438,0.11879134440422058,1862.594945192337,15000
71.772446,0.49734288,0.019666076,0.1735497,-65.37528,65.37528,0.26822096,-53.860413,-65.37986,-65.98531,7.3656573,-5.5255632,106.94836,71.769485,0.4586772,0.021560743,0.17718536,-64.84258,64.84258,0.35769445,-11.538266,-64.8421,-65.97447,0.11836203527450562,2454.405187368393,20000
79.693306,0.48981094,0.020004239,0.16866308,-73.202225,73.202225,0.6788557,-36.15421,-73.193405,-74.01623,14.371886,-8.7839365,182.225,79.50267,0.49853325,0.021599852,0.17761558,-72.52418,72.52418,0.48415446,-9.273487,-72.52438,-74.00137,0.10709090967178345,2989.859778404236,25000
86.51516,0.48217675,0.022750314,0.17224589,-79.207886,79.207886,1.2201114,-30.822502,-79.19624,-80.30029,11.358318,-21.054987,234.85423,86.293816,0.48680997,0.022583453,0.16938804,-79.03197,79.03197,0.4334015,-16.191122,-79.04541,-80.25845,0.10383130221366882,3509.016330718994,30000
91.08459,0.4407187,0.021282468,0.1616239,-84.259125,84.259125,0.100711696,-11.141491,-84.269775,-85.082115,14.6475725,-9.551138,140.02557,90.26009,0.46849057,0.020090848,0.15881155,-83.76435,83.76435,1.4684354,-17.089832,-83.782295,-85.07475,0.10246654181480408,4021.3490793704987,35000
94.58936,0.46218818,0.020847188,0.15845236,-87.87302,87.87302,0.17100658,-5.4026856,-87.87462,-88.95933,13.496297,-7.0278845,130.05177,94.137886,0.4386762,0.020117523,0.16356674,-87.663956,87.663956,1.7554302,-32.575714,-87.69384,-88.99958,0.10549486889839173,4548.823462486267,40000
97.66054,0.44220752,0.020407956,0.16354021,-91.09595,91.09595,1.7657641,-26.077942,-91.110886,-91.85741,16.232576,-26.962004,288.45963,96.66676,0.44047517,0.019145982,0.14968088,-90.48249,90.48249,0.48021367,-48.937397,-90.49606,-91.89041,0.10694172530174255,5083.532127857208,45000
98.94655,0.42166466,0.018156718,0.1536858,-93.077866,93.077866,0.30962226,-24.289392,-93.078804,-94.27979,7.556757,-8.754106,135.54973,97.68342,0.44201297,0.019386027,0.16362922,-91.4256,91.4256,0.391298,-7.185219,-91.46898,-94.24898,0.10800939192771912,5623.579118967056,50000
100.02674,0.4500877,0.018621627,0.15447004,-93.990166,93.990166,0.940611,-11.6173525,-94.00106,-95.94805,8.646352,-9.2236185,134.22948,100.84917,0.47287488,0.019600602,0.15392621,-94.49611,94.49611,0.7745233,-39.023758,-94.52291,-95.93052,0.1046235957622528,6146.697147846222,55000
103.065796,0.48037702,0.02005411,0.15209891,-96.56918,96.56918,0.16296764,-24.31075,-96.5614,-97.58376,11.431229,-14.327174,143.0405,102.32131,0.47121274,0.021060666,0.15297697,-95.5319,95.5319,0.4316889,-10.050052,-95.526955,-97.55608,0.10486875333786011,6671.040968418121,60000
103.3721,0.4387031,0.019658772,0.14150932,-97.03577,97.03577,0.766119,-33.098545,-97.066284,-98.6933,8.112569,-15.79582,191.62396,103.721504,0.4575507,0.019917835,0.14663008,-97.288605,97.288605,0.77754456,-10.178098,-97.300934,-98.68634,0.1070728455543518,7206.40530371666,65000
104.011215,0.41838565,0.016811293,0.13891108,-98.54944,98.54944,0.21784838,-41.020767,-98.564224,-99.59522,7.4199047,-7.306057,122.45716,102.874435,0.4463274,0.017834978,0.1377096,-97.077614,97.077614,2.961198,-16.655638,-97.10733,-99.550156,0.10754828042984009,7744.146742582321,70000
