training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
33.29412,0.599176,0.027661478,0.24063422,-24.396503,24.396503,1.2986811,-17.9426,-24.39842,-24.730494,4.323142,-3.6856935,120.447914,33.858566,0.6353387,0.029505605,0.25883958,-24.371544,24.371544,0.028348278,-18.911825,-24.37394,-24.719927,0.1463536885738373,731.7684812545776,5000
50.399086,0.56092274,0.025987739,0.20361102,-42.04184,42.04184,0.18090206,-21.367111,-42.032112,-42.679565,6.778262,-7.4558682,128.4239,50.464462,0.59727645,0.02605145,0.20422891,-42.05175,42.05175,1.94511,-21.678371,-42.06059,-42.67197,0.09724130682945252,1217.9750504493713,10000
62.303787,0.51469946,0.02378093,0.18445167,-54.654808,54.654808,1.5215114,-12.471696,-54.6567,-56.01811,8.550707,-6.596719,145.18355,62.74154,0.55438334,0.023159914,0.1876733,-55.23918,55.23918,0.37057883,-20.853167,-55.274033,-56.00637,0.09832243518829346,1709.58726644516,15000
71.87153,0.49734288,0.019682912,0.17359976,-65.469315,65.469315,1.9987849,-17.035734,-65.47438,-66.29894,7.3515925,-7.7174535,151.85057,72.352684,0.4586772,0.021545583,0.17719953,-65.43033,65.43033,0.35415918,-10.866057,-65.41473,-66.240364,0.09881400284767151,2203.6573300361633,20000
80.12017,0.48981094,0.019999562,0.16868816,-73.63049,73.63049,0.20219272,-49.087948,-73.63439,-74.28726,9.71996,-8.774978,124.134125,80.06751,0.49853325,0.021607136,0.17766863,-73.08684,73.08684,0.51202047,-8.157917,-73.099915,-74.28974,0.09745551862716675,2690.934961795807,25000
86.48697,0.48217675,0.022741446,0.1722797,-79.18236,79.18236,0.29816836,-6.575532,-79.182785,-80.58674,11.368374,-9.178025,143.11069,86.69851,0.48680997,0.022587229,0.1694354,-79.43553,79.43553,1.0372951,-17.121548,-79.43918,-80.60302,0.09930970582962036,3187.4835255146027,30000
91.34746,0.4407187,0.02127921,0.16167577,-84.52298,84.52298,0.36284637,-38.70097,-84.52865,-85.373184,14.697971,-9.546679,152.64981,90.76769,0.46849057,0.020090137,0.15881734,-84.27216,84.27216,0.68792915,-9.412873,-84.26239,-85.373825,0.09877053189277649,3681.336224794388,35000
94.299644,0.46218818,0.020856552,0.15842973,-87.58049,87.58049,1.1272805,-10.669603,-87.588524,-89.21612,13.522022,-7.0767527,160.2794,93.4038,0.4386762,0.020124588,0.16358007,-86.92775,86.92775,1.7965657,-7.809838,-86.911804,-89.17575,0.09835450792312622,4173.108799695969,40000
97.286026,0.44220752,0.02040891,0.16363984,-90.721146,90.721146,0.7528337,-14.770069,-90.710846,-92.1672,8.10004,-13.991154,138.18134,97.757965,0.44047517,0.019167216,0.14964956,-91.56732,91.56732,0.11196566,-26.227955,-91.567726,-92.188866,0.09989559588432312,4672.586814165115,45000
98.78428,0.42166466,0.018145356,0.15371451,-92.91901,92.91901,0.29787278,-7.0806713,-92.90746,-94.32447,7.519761,-8.640428,123.92804,100.0178,0.44201297,0.019393595,0.16362563,-93.757706,93.757706,0.43098712,-56.62649,-93.7594,-94.35178,0.0979546881198883,5162.360292434692,50000
100.63981,0.4500877,0.018624598,0.15440252,-94.60234,94.60234,0.11893723,-9.834719,-94.58204,-96.13259,8.65547,-9.312066,115.55151,101.596115,0.47287488,0.019622287,0.15392646,-95.23656,95.23656,0.86980635,-35.275654,-95.241554,-96.207985,0.09807319116592407,5652.72629070282,55000
102.81093,0.48037702,0.020046175,0.15215863,-96.316696,96.316696,0.54395616,-6.605611,-96.31874,-97.49977,11.592609,-14.303712,144.36833,102.87196,0.47121274,0.02104906,0.15299323,-96.08603,96.08603,0.54800093,-6.8149033,-96.10456,-97.48185,0.09875945992469788,6146.523645162582,60000
104.10024,0.4387031,0.019624006,0.14148606,-97.77434,97.77434,0.38799998,-28.4642,-97.79187,-98.58589,8.134666,-10.240653,130.65028,103.61796,0.4575507,0.019895803,0.14653881,-97.191666,97.191666,1.6592911,-50.84864,-97.18675,-98.61699,0.09801123290061951,6636.579842329025,65000
102.82691,0.41838565,0.01678439,0.13893093,-97.37321,97.37321,0.9642979,-11.855402,-97.36331,-99.25065,7.5523286,-7.186416,133.16615,103.9552,0.4463274,0.01783939,0.1377031,-98.15706,98.15706,0.2921888,-11.32086,-98.152405,-99.27477,0.09859096198081971,7129.5346937179565,70000
104.47839,0.43215644,0.018217688,0.14948222,-98.58093,98.58093,0.3703084,-5.9519362,-98.5798,-99.96115,7.2866955,-8.099568,121.706726,105.22442,0.50657624,0.020075463,0.15557227,-98.695206,98.695206,0.92709297,-8.777393,-98.68859,-99.98435,0.09755995087623597,7617.334502696991,75000
104.81267,0.4292871,0.01851409,0.13697593,-98.829155,98.829155,1.6370212,-2.86839,-98.86661,-100.404816,11.211707,-14.225438,185.46149,104.5053,0.49058416,0.019270139,0.14434192,-98.23367,98.23367,0.8426221,-9.961397,-98.22173,-100.43136,0.097935817861557,8107.013644456863,80000
105.81428,0.43186852,0.019811999,0.13929722,-99.43881,99.43881,5.8197455,-11.664537,-99.44388,-100.730934,16.268139,-17.341412,290.0353,105.54277,0.42962635,0.02025787,0.14420894,-99.03578,99.03578,14.443105,-29.513481,-99.01747,-100.755104,0.09810692977905273,8597.548331737518,85000
106.32897,0.40800217,0.01956158,0.14453186,-100.0525,100.0525,0.18589318,-61.33814,-100.05586,-101.03895,20.854855,-15.82392,131.98802,106.14022,0.43377033,0.02007141,0.1464049,-99.68503,99.68503,0.30916363,-10.153761,-99.67576,-101.00759,0.0985372820854187,9090.23477435112,90000
