training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
25.811768,0.599176,0.027683485,0.24071912,-24.382088,24.382088,1.2828286,-17.834229,-24.38488,-24.716648,0.65065515,-0.44882464,21.47559,25.879328,0.6353387,0.02958731,0.2590224,-24.356369,24.356369,0.027359303,-18.794703,-24.360373,-24.707426,0.16316719512939454,815.8360111713409,5000
43.14033,0.56092274,0.025976863,0.20387425,-41.800102,41.800102,0.16631715,-19.798506,-41.797195,-42.59426,1.6896015,-0.76664436,24.07419,43.185375,0.59727645,0.026251325,0.20428218,-41.80056,41.80056,1.6808989,-19.901669,-41.81448,-42.53773,0.10046047024726867,1318.1383969783783,10000
55.308037,0.51469946,0.024137491,0.18487978,-54.069214,54.069214,1.0904127,-9.636454,-54.09357,-55.867115,1.5078939,-2.4442477,35.461735,56.07089,0.55438334,0.0235088,0.18801796,-54.81124,54.81124,0.17464396,-14.574904,-54.849392,-55.878014,0.10107478199005127,1823.5123479366302,15000
65.98428,0.49734288,0.019998793,0.17417,-64.88698,64.88698,1.978524,-20.105026,-64.89668,-65.98628,5.954401,-9.641387,74.73421,66.02238,0.4586772,0.021629933,0.17769846,-64.9148,64.9148,0.38192153,-11.322671,-64.90767,-65.94084,0.09984414787292481,2322.733132839203,20000
73.98072,0.48981094,0.020296177,0.1694765,-72.88203,72.88203,0.28467774,-36.5374,-72.894554,-74.016014,1.121099,-1.0463766,34.888226,73.51479,0.49853325,0.021749519,0.1781896,-72.36378,72.36378,0.52653694,-7.123737,-72.38235,-74.01111,0.10232557983398438,2834.361082315445,25000
79.30568,0.48217675,0.022892216,0.17229865,-78.136734,78.136734,0.29391885,-6.319902,-78.14351,-80.08363,2.1884441,-3.7336178,33.23028,79.42677,0.48680997,0.022907462,0.16974963,-78.25274,78.25274,0.33073708,-10.467622,-78.25492,-80.0778,0.10012154335975647,3334.9688436985016,30000
84.493286,0.4407187,0.021287085,0.16161934,-83.413956,83.413956,0.48621258,-20.909962,-83.434715,-84.813156,4.289597,-2.922436,42.42443,84.42661,0.46849057,0.020290548,0.1590284,-83.3494,83.3494,0.65059316,-7.8014083,-83.34831,-84.80714,0.09996573371887207,3834.7975437641144,35000
87.29512,0.46218818,0.021061728,0.15918788,-86.20108,86.20108,0.5250958,-5.055252,-86.2461,-88.666664,2.4735208,-2.1169114,38.13136,86.48344,0.4386762,0.020507995,0.16369413,-85.42952,85.42952,0.7245993,-5.1206255,-85.440094,-88.64087,0.10105900473594666,4340.092596054077,40000
89.67768,0.44220752,0.0209614,0.16296707,-88.60663,88.60663,0.475218,-7.55895,-88.631,-91.383804,1.0260893,-2.7691832,32.03146,91.52002,0.44047517,0.0193131,0.14974104,-90.50015,90.50015,0.36798936,-21.29261,-90.51212,-91.34127,0.10525810747146606,4866.383161306381,45000
92.506454,0.42166466,0.01842291,0.15410084,-91.532104,91.532104,0.19702426,-4.3444,-91.55391,-93.716576,0.9617562,-0.695231,26.04612,93.39455,0.44201297,0.020149596,0.16422811,-92.348045,92.348045,1.0121276,-26.146442,-92.371704,-93.742134,0.10392912049293518,5386.028796195984,50000
93.72217,0.4500877,0.018864922,0.15520313,-92.70613,92.70613,0.42073837,-7.475833,-92.71941,-95.309944,1.1712117,-2.149357,33.928207,94.32576,0.47287488,0.02016383,0.15420322,-93.24797,93.24797,1.6377507,-33.658253,-93.26938,-95.329,0.10102286257743835,5891.1431453228,55000
94.96525,0.48037702,0.02071977,0.1535872,-93.86328,93.86328,0.4233891,-3.7314768,-93.88768,-96.5957,1.0864494,-1.5374588,29.113342,94.4657,0.47121274,0.021872336,0.15376602,-93.33832,93.33832,0.6074238,-4.6499944,-93.37456,-96.6243,0.10095597987174988,6395.923076868057,60000
96.03772,0.4387031,0.020080602,0.1422349,-94.9966,94.9966,0.2740273,-19.467766,-95.02586,-97.7569,0.8121335,-1.0134181,27.39788,94.96609,0.4575507,0.021016512,0.14679338,-93.878044,93.878044,1.691995,-26.50506,-93.91485,-97.68531,0.10358613142967224,6913.8537702560425,65000
94.96931,0.41838565,0.017736344,0.13920102,-94.01883,94.01883,1.1634433,-10.532091,-94.07317,-98.562744,2.7585475,-2.3879893,44.364197,95.402916,0.4463274,0.018656988,0.13851875,-94.39688,94.39688,0.5924132,-6.2167773,-94.47646,-98.560814,0.10313672518730163,7429.5374484062195,70000
95.55551,0.43215644,0.019262988,0.15037641,-94.54546,94.54546,0.6488309,-3.8485343,-94.58306,-99.07522,1.4312905,-1.7498796,26.93354,95.83001,0.50657624,0.021407902,0.15611994,-94.6812,94.6812,0.5075861,-7.6476374,-94.74889,-99.08335,0.10317421927452088,7945.408571243286,75000
95.71864,0.4292871,0.019480972,0.1380702,-94.704926,94.704926,1.0357438,-2.3849428,-94.79094,-99.51524,5.137894,-8.302723,67.00559,94.50103,0.49058416,0.02071241,0.14452761,-93.38908,93.38908,0.42525443,-8.672367,-93.49866,-99.54041,0.10449095902442933,8467.863394737244,80000
96.29035,0.43186852,0.020711936,0.14058627,-95.23712,95.23712,0.48733658,-20.558647,-95.31165,-99.80777,3.2325425,-3.5271902,52.980724,94.81235,0.42962635,0.02122556,0.14487481,-93.74596,93.74596,9.794112,-23.231733,-93.805084,-99.78245,0.10511400303840637,8993.433442354202,85000
95.62771,0.40800217,0.020681027,0.1458845,-94.59927,94.59927,0.5497148,-28.392456,-94.667175,-99.93438,2.2165506,-1.8154267,44.52427,95.43294,0.43377033,0.021331076,0.14747275,-94.35924,94.35924,0.40892065,-8.084684,-94.414185,-99.9949,0.10363914437294007,9511.629201889038,90000
94.43328,0.42617118,0.020105941,0.14018813,-93.40393,93.40393,0.31480777,-4.123148,-93.43178,-100.15603,0.6629512,-0.9056304,27.992275,94.23929,0.45235163,0.01960625,0.15024221,-93.198746,93.198746,0.66879547,-3.7572956,-93.274414,-100.10977,0.10415611581802368,10032.409804821014,95000
95.30816,0.42655143,0.018282536,0.13483627,-94.33313,94.33313,0.38944522,-4.4060874,-94.375015,-100.234505,2.804908,-2.9352894,38.293232,95.703026,0.40100917,0.018955069,0.14610006,-94.73337,94.73337,0.31161225,-8.33396,-94.78224,-100.26577,0.08338327465057373,10449.32620382309,100000
94.53472,0.3987497,0.018788116,0.14544268,-93.57233,93.57233,3.7291663,-5.473795,-93.63743,-100.31422,25.157646,-26.59442,166.59708,94.76249,0.40077206,0.019766785,0.13806535,-93.768715,93.768715,9.445487,-13.56671,-93.811615,-100.30771,0.18484618878364564,11373.557195186615,105000
96.23501,0.45082748,0.018248938,0.13921894,-95.23671,95.23671,0.19301116,-25.284027,-95.26773,-100.323456,1.624624,-1.4409776,26.537163,95.86812,0.44073597,0.022015369,0.15255946,-94.76692,94.76692,0.35273463,-8.638358,-94.8126,-100.322044,0.1018552855014801,11882.833673477173,110000
94.73761,0.40470105,0.017852778,0.1388457,-93.797325,93.797325,0.59909374,-9.26872,-93.808655,-100.41265,1.9837005,-2.0024233,29.595495,95.40578,0.46943194,0.01794943,0.14524822,-94.397865,94.397865,0.30087462,-4.0294867,-94.41903,-100.37551,0.10104560651779175,12388.061752319336,115000
95.40012,0.4072706,0.016949875,0.13751458,-94.48436,94.48436,0.6053963,-3.0289092,-94.51381,-100.38072,0.95866936,-0.8509792,31.143578,94.411514,0.41032064,0.018487154,0.13892508,-93.44658,93.44658,1.4730196,-3.2553313,-93.50183,-100.35889,0.10119217810630798,12894.022680044174,120000
97.15239,0.48339963,0.018971356,0.1365976,-96.099846,96.099846,0.17565241,-36.820396,-96.11552,-100.44999,2.1409845,-1.4826995,30.223923,97.00364,0.43420744,0.018777862,0.13280232,-96.006096,96.006096,9.611749,-46.19505,-96.02907,-100.50497,0.10129794402122498,13400.512424707413,125000
96.03907,0.41700837,0.019484926,0.14092125,-95.03751,95.03751,0.34279785,-16.25527,-95.09801,-100.39048,1.3089261,-2.080842,28.364717,95.6867,0.40954328,0.019084599,0.13710791,-94.70462,94.70462,0.44066268,-8.31066,-94.73969,-100.392136,0.0999127824306488,13900.076362848282,130000
95.82227,0.3955977,0.017531026,0.13051699,-94.90074,94.90074,0.48320958,-5.0701094,-94.91399,-100.420685,2.611611,-2.0841,36.725937,96.949585,0.42827663,0.020270063,0.14290208,-95.91321,95.91321,0.33297217,-3.1757567,-95.9417,-100.45817,0.10183894777297973,14409.271134614944,135000
96.24977,0.483332,0.019887645,0.13891272,-95.16981,95.16981,0.49324387,-5.33337,-95.2497,-100.425255,1.798394,-2.136492,40.07588,96.75716,0.41385832,0.019296912,0.1393595,-95.76439,95.76439,0.2346884,-4.3969994,-95.78556,-100.43158,0.09996381368637085,14909.090254545212,140000
95.94625,0.421901,0.016966753,0.13363525,-95.01535,95.01535,0.7106928,-9.564812,-95.08496,-100.440125,6.0838437,-2.7913308,49.541016,97.434,0.45794392,0.01922522,0.14663045,-96.3993,96.3993,0.27671456,-42.782536,-96.4312,-100.43427,0.10062752680778503,15412.227942705154,145000
96.33929,0.39239326,0.018529925,0.1336509,-95.391,95.391,0.25096825,-4.333863,-95.43616,-100.498955,1.5842191,-1.2417082,24.022318,96.95133,0.42976055,0.019693846,0.1389811,-95.930756,95.930756,0.71681833,-7.3754244,-95.9752,-100.50528,0.10092913126945495,15916.873633861542,150000
97.59563,0.40537748,0.018370427,0.14010033,-96.63914,96.63914,0.15441501,-5.639996,-96.66838,-100.38732,1.677154,-1.4519277,26.073593,97.05663,0.39846304,0.019523673,0.14299734,-96.07246,96.07246,0.5203043,-30.946617,-96.13405,-100.39508,0.1003905837059021,16418.826589345932,155000
96.195366,0.40193385,0.017817572,0.13399844,-95.2589,95.2589,1.7197113,-7.8155155,-95.293365,-100.5358,4.855195,-7.909647,62.852104,96.69226,0.42260402,0.01795243,0.13172588,-95.73109,95.73109,0.2846373,-1.507039,-95.77324,-100.55984,0.1019214255809784,16928.433750391006,160000
