training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
26.495827,0.599176,0.027685614,0.24057761,-25.066082,25.066082,1.8730638,-20.820137,-25.06407,-25.237469,0.79098696,-1.0182446,29.742199,26.48957,0.6353387,0.029545035,0.25892723,-24.96788,24.96788,0.008804817,-20.697798,-24.968826,-25.15403,0.16447788166999816,822.3894472122192,5000
44.966305,0.56092274,0.025889454,0.20370345,-43.6287,43.6287,0.0067998576,-12.615294,-43.62971,-43.786972,0.6715251,-0.76818895,14.381513,45.12485,0.59727645,0.026011283,0.20397893,-43.74724,43.74724,0.00043546676,-43.50544,-43.747063,-43.78261,0.10020484919548035,1323.4137275218964,10000
59.34162,0.51469946,0.023827491,0.1844263,-58.1121,58.1121,0.5347321,-6.579327,-58.111847,-58.59251,1.0795847,-0.72401154,30.737503,59.638214,0.55438334,0.023214051,0.1877417,-58.38741,58.38741,0.004188303,-57.810387,-58.387424,-58.524918,0.10297812814712524,1838.3044073581696,15000
70.24489,0.49734288,0.019732151,0.17364448,-69.15558,69.15558,1.9149839,-20.833986,-69.14024,-69.611,3.5546257,-4.324531,61.676666,70.45604,0.4586772,0.021536365,0.17711222,-69.35127,69.35127,0.005420054,-10.80074,-69.351166,-69.64612,0.1035655797958374,2356.132344007492,20000
78.90003,0.48981094,0.020113707,0.16888122,-77.80681,77.80681,0.00024925935,0.20615411,-77.8069,-78.13713,0.97990257,-0.8019732,13.929379,79.261566,0.49853325,0.021481583,0.17792346,-78.11858,78.11858,0.00025350475,-78.05554,-78.11859,-78.14369,0.10504078407287598,2881.3363196849823,25000
85.57997,0.48217675,0.022849688,0.17232777,-84.41231,84.41231,0.070821986,-61.390205,-84.40762,-84.552246,1.1285969,-0.9319277,22.515856,85.69004,0.48680997,0.02275055,0.16933933,-84.52071,84.52071,0.0023696935,-83.58079,-84.52055,-84.59938,0.11288381900787353,3445.7554585933685,30000
90.675835,0.4407187,0.02118426,0.16152266,-89.59959,89.59959,0.0021935538,-89.03699,-89.59914,-89.697426,1.3550184,-1.0206373,17.347235,90.66731,0.46849057,0.020161726,0.1587968,-89.59397,89.59397,0.0027975435,-89.196014,-89.5942,-89.71888,0.11871785354614257,4039.3447873592377,35000
94.00811,0.46218818,0.020777749,0.1590916,-92.92259,92.92259,0.16491535,-47.16529,-92.911804,-93.138336,1.3406099,-1.5419812,26.337826,94.12667,0.4386762,0.020009147,0.1633802,-93.08772,93.08772,0.00029741798,-92.8619,-93.087776,-93.14206,0.1100894416809082,4589.79204583168,40000
96.1439,0.44220752,0.020071907,0.1625092,-95.09953,95.09953,0.6008877,-8.692093,-95.10202,-95.71793,0.8537335,-1.5049075,25.271774,96.605705,0.44047517,0.019074952,0.14960611,-95.59298,95.59298,0.004403615,-95.36376,-95.592896,-95.71381,0.10683340578079224,5123.9591109752655,45000
98.53617,0.42166466,0.017939936,0.15347484,-97.57631,97.57631,0.1632054,-92.19219,-97.57489,-97.685455,0.77582663,-0.8624504,16.039423,98.60082,0.44201297,0.019350657,0.16337165,-97.57829,97.57829,0.015327982,-95.11223,-97.57767,-97.67257,0.10913594298362732,5669.638866662979,50000
